source_code,status_code,n_pixels,age_from,age_to
99.0,2,1140,290.0,270.0
99.0,3,871724,290.0,270.0
105.0,1,12,290.0,270.0
105.0,2,1601,290.0,270.0
105.0,3,72665,290.0,270.0
20.0,1,2,300.0,290.0
20.0,3,15190,300.0,290.0
21.0,1,2,300.0,290.0
21.0,3,16116,300.0,290.0
56.0,3,1226,300.0,290.0
94.0,3,3826,300.0,290.0
98.0,3,29,300.0,290.0
99.0,1,10,300.0,290.0
99.0,2,835,300.0,290.0
99.0,3,610998,300.0,290.0
105.0,2,1622,300.0,290.0
105.0,3,52868,300.0,290.0
106.0,3,63,300.0,290.0
20.0,3,20743,315.0,300.0
21.0,3,43595,315.0,300.0
56.0,3,1450,315.0,300.0
94.0,3,6913,315.0,300.0
98.0,3,5058,315.0,300.0
99.0,1,35,315.0,300.0
99.0,2,1555,315.0,300.0
99.0,3,797612,315.0,300.0
105.0,2,1560,315.0,300.0
105.0,3,157019,315.0,300.0
106.0,3,16270,315.0,300.0
20.0,3,23858,331.0,315.0
21.0,1,1,331.0,315.0
21.0,3,53474,331.0,315.0
56.0,3,1884,331.0,315.0
94.0,3,9331,331.0,315.0
98.0,3,622,331.0,315.0
99.0,1,8,331.0,315.0
99.0,2,3081,331.0,315.0
99.0,3,1074416,331.0,315.0
105.0,2,1563,331.0,315.0
105.0,3,238962,331.0,315.0
106.0,3,3858,331.0,315.0
20.0,3,28440,350.0,331.0
21.0,3,42066,350.0,331.0
56.0,3,3021,350.0,331.0
94.0,3,12025,350.0,331.0
98.0,3,3146,350.0,331.0
99.0,1,32,350.0,331.0
99.0,3,1190958,350.0,331.0
105.0,2,1567,350.0,331.0
105.0,3,202238,350.0,331.0
106.0,3,6159,350.0,331.0
20.0,3,17080,370.0,350.0
21.0,3,24318,370.0,350.0
56.0,3,3202,370.0,350.0
94.0,3,8679,370.0,350.0
98.0,3,4482,370.0,350.0
99.0,1,9,370.0,350.0
99.0,2,1558,370.0,350.0
99.0,3,1274767,370.0,350.0
105.0,2,1579,370.0,350.0
105.0,3,85087,370.0,350.0
106.0,3,11959,370.0,350.0
94.0,3,29682,383.0,370.0
98.0,3,12552,383.0,370.0
99.0,1,14,383.0,370.0
99.0,2,15,383.0,370.0
99.0,3,806721,383.0,370.0
105.0,2,1451,383.0,370.0
105.0,3,67018,383.0,370.0
106.0,1,5,383.0,370.0
106.0,2,4550,383.0,370.0
106.0,3,327331,383.0,370.0
94.0,3,52912,393.0,383.0
98.0,3,10536,393.0,383.0
99.0,1,28,393.0,383.0
99.0,2,1296,393.0,383.0
99.0,3,942845,393.0,383.0
105.0,2,170,393.0,383.0
105.0,3,60920,393.0,383.0
106.0,2,1466,393.0,383.0
106.0,3,150934,393.0,383.0
94.0,1,12,408.0,393.0
94.0,3,61730,408.0,393.0
98.0,2,152,408.0,393.0
98.0,3,13229,408.0,393.0
99.0,1,48,408.0,393.0
99.0,2,213,408.0,393.0
99.0,3,1036487,408.0,393.0
105.0,2,1106,408.0,393.0
